   X          CP

    0.9750     0.2701
    0.9250     0.2900
    0.8750     0.2910
    0.8250     0.3027
    0.7750     0.3184
    0.7250     0.3369
    0.6750     0.3571
    0.6250     0.3811
    0.5750     0.4094
    0.5250     0.4398
    0.4750     0.4753
    0.4250     0.5165
    0.3750     0.5685
    0.3450     0.6042
    0.3350     0.6108
    0.3250     0.6222
    0.3150     0.6338
    0.3050     0.6480
    0.2950     0.6616
    0.2850     0.6742
    0.2750     0.6895
    0.2650     0.7041
    0.2550     0.6972
    0.2250     0.7734
    0.1750     0.8679
    0.1250     0.9677
    0.0875     0.9982
    0.0625     0.9307
    0.0375     0.5344
    0.0188    -0.8854
    0.0088    -3.3403
    0.0025    -7.9328
    0.0025   -12.7342
    0.0088   -12.9878
    0.0188   -10.4336
    0.0375    -7.0579
    0.0625    -5.5338
    0.0875    -4.6714
    0.1250    -3.5379
    0.1750    -2.8280
    0.2250    -2.3046
    0.2550    -2.1010
    0.2650    -2.0317
    0.2750    -1.9688
    0.2850    -1.9161
    0.2950    -1.8426
    0.3050    -1.7847
    0.3150    -1.7371
    0.3250    -1.6779
    0.3350    -1.6247
    0.3450    -1.6418
    0.3750    -1.4178
    0.4250    -1.2201
    0.4750    -1.0448
    0.5250    -0.8904
    0.5750    -0.7515
    0.6250    -0.6296
    0.6750    -0.5135
    0.7250    -0.4014
    0.7750    -0.2950
    0.8250    -0.1882
    0.8750    -0.0738
    0.9250     0.0556
    0.9750     0.2701
  CL        CD  CM
    2.2432     0.0106     0.0077
